상권_코드,상권_코드_명,id,구,2020_총_유동인구_수_합계(상권코드),2019_총_유동인구_수_합계(상권코드),2018_총_유동인구_수_합계(상권코드),,,,
1000860,바우뫼로39길,15,서초구,3402438,3280358,1332122,,,,
1000859,마방로2길,15,서초구,2228898,2452033,749172,,,,
1000858,방배천로4안길,15,서초구,4016263,4220505,2280501,,,,
1000857,동산로19길,15,서초구,3624405,3387226,955373,,,,
1000856,동산로10길,15,서초구,2792039,2881731,739653,,,,
1000855,동광로39길,15,서초구,3298854,2940056,771998,,,,
1000854,동광로1길,15,서초구,4792388,4692877,1034504,,,,
1000853,동광로12길,15,서초구,5925288,6128117,3711155,,,,
1000852,논현로27길,1,강남구,2802541,2719180,1237627,,,,
1000851,논현로1길,1,강남구,3274685,3182192,733681,,,,
1000850,남부순환로339길,15,서초구,2643618,2891958,906653,,,,
1000849,남부순환로325길,15,서초구,3270210,3263954,1821084,,,,
1000848,남부순환로317길,15,서초구,3484553,3369675,1512670,,,,
1000847,고무래로8길,15,서초구,2847778,2896068,1003159,,,,
1000846,강남대로8길,1,강남구,2894679,3068544,846148,,,,
1000845,강남대로34길,1,강남구,3529768,3572288,1661531,,,,
1000844,강남대로23길,1,강남구,1314541,1308633,557801,,,,
1000843,소담길,1,강남구,6968525,6052521,1470735,,,,
1000842,원신길,5,관악구,3106473,2999566,590694,,,,
1000841,양지길,5,관악구,3710836,3982579,1331809,,,,
1000840,양산길,5,관악구,3322526,3663124,1183486,,,,
1000839,호암로24길,5,관악구,7892707,8800520,3450175,,,,
1000838,호암로20길,5,관악구,7893760,8182292,2949159,,,,
1000837,행운길,5,관악구,8003120,8210777,2999483,,,,
1000836,행운1길,5,관악구,7766896,8021310,3464701,,,,
1000835,청림3길,5,관악구,6048487,5437543,1135306,,,,
1000834,청룡길,5,관악구,8005274,7467046,3119316,,,,
1000833,청룡8길,5,관악구,6807418,6607705,1943170,,,,
1000832,중앙길,19,양천구,9365656,8623067,2740635,,,,
1000831,조원중앙로2길,5,관악구,5402967,5407040,1466813,,,,
1000830,조원로18길,5,관악구,4561663,4830687,1519851,,,,
1000829,조원로10길,5,관악구,6079681,6419446,2858570,,,,
1000828,장군봉2길,5,관악구,5184063,5397892,1495560,,,,
1000827,장군봉1길,5,관악구,6093985,6256420,2053846,,,,
1000826,인헌길,5,관악구,4863956,4206716,855976,,,,
1000825,은천로25길,5,관악구,4309400,3986553,958816,,,,
1000824,양녕로6길,5,관악구,8475259,7890353,2992148,,,,
1000823,신원로3길,5,관악구,7697033,8069831,2946462,,,,
1000822,신사로20길,5,관악구,4395264,4154288,861479,,,,
1000821,신림로65길,5,관악구,8586569,9429901,4438175,,,,
1000820,신림로64길,5,관악구,6281082,6545850,3526910,,,,
1000819,신림로48길,5,관악구,3871051,3995097,865363,,,,
1000818,신림로38길,5,관악구,4992408,3896365,883390,,,,
1000817,신림로28길,5,관악구,6157745,6517484,2741059,,,,
1000816,신림로11길,5,관악구,5569915,5808021,2237081,,,,
1000815,신림동길,5,관악구,8579423,9040903,3707327,,,,
1000814,승방길,5,관악구,4863098,4775863,1756497,,,,
1000813,서림7길,5,관악구,4346186,4428573,1644218,,,,
1000812,봉천로33길,5,관악구,7595914,7118727,2686085,,,,
1000811,봉천로13길,5,관악구,5111082,5253908,1385002,,,,
1000810,복은길,5,관악구,5582380,4962247,1329775,,,,
1000809,법원단지길,5,관악구,4931875,4880831,1255344,,,,
1000808,법원단지9길,5,관악구,5401164,5326166,1190304,,,,
1000807,미성5길,5,관악구,4684775,4563999,1192507,,,,
1000806,대학길,5,관악구,6199357,6359446,2275783,,,,
1000805,대학14길,5,관악구,4594413,4576480,1251527,,,,
1000804,당곡길,19,양천구,4250123,4270959,1490258,,,,
1000803,남현길,5,관악구,6328888,6160549,1412521,,,,
1000802,남현3길,5,관악구,6538289,6613405,2240927,,,,
1000801,남현2길,5,관악구,7826577,7733851,1839726,,,,
1000800,남부순환로248길,5,관악구,4654346,4339365,1160365,,,,
1000799,남부순환로234길,5,관악구,4282443,4576272,1874588,,,,
1000798,남부순환로172길,5,관악구,6131832,6538002,2114433,,,,
1000797,남부순환로161길,5,관악구,5605876,5541070,1334985,,,,
1000796,남부순환로151길,5,관악구,5024125,5408423,1558580,,,,
1000795,남부순환로142길,5,관악구,4009739,4043689,1265020,,,,
1000794,난향길,5,관악구,1384451,1321372,228558,,,,
1000793,난우길,5,관악구,5631598,5440458,1173517,,,,
1000792,난곡로74길,5,관악구,4975126,5343282,1311775,,,,
1000791,난곡로34길,5,관악구,4694069,4659907,1215741,,,,
1000790,난곡로26길,5,관악구,3701057,3643965,831518,,,,
1000789,난곡로24길,5,관악구,2836477,2759297,388401,,,,
1000788,낙성대역길,5,관악구,5905122,5700183,2321940,,,,
1000787,국회단지길,5,관악구,5794905,5420380,1535670,,,,
1000786,구암길,5,관악구,3480865,3726537,915808,,,,
1000785,관천로22길,5,관악구,6863794,6739723,1967174,,,,
1000784,관천로15길,5,관악구,6757089,6477721,1108313,,,,
1000783,관악로30길,5,관악구,5150827,4672348,1105650,,,,
1000782,관악로28길,5,관악구,4997376,4626789,1144662,,,,
1000781,관악로14길,5,관악구,6838189,7541465,3752011,,,,
1000780,관악로10길,5,관악구,5218710,5639264,2528758,,,,
1000779,흑석로9길,12,동작구,2411548,2860712,3283897,,,,
1000778,흑석로13길,12,동작구,2386024,2835231,3337369,,,,
1000777,장승배기로27길,12,동작구,4923946,4998484,1973374,,,,
1000776,장승배기로19길,12,동작구,4958307,4941705,1813872,,,,
1000775,장승배기로10길,12,동작구,4718923,4704195,1824555,,,,
1000774,여의대방로46길,12,동작구,2907822,2850650,1348301,,,,
1000773,여의대방로24길,12,동작구,3726768,3738266,1372225,,,,
1000772,여의대방로22카길,12,동작구,4643499,4688963,1512898,,,,
1000771,여의대방로22나길,12,동작구,2592665,2583030,896854,,,,
1000770,여의대방로22길,12,동작구,3431176,3432620,1034717,,,,
1000769,양녕로26길,12,동작구,3612999,3287567,612580,,,,
1000768,신대방길,12,동작구,3600626,3464487,1452835,,,,
1000767,성대로29길,12,동작구,5537309,5224524,1231983,,,,
1000766,성대로1길,12,동작구,4742894,4320210,1413892,,,,
1000765,서달로8가길,12,동작구,3729197,3954072,3950774,,,,
1000764,서달로15길,12,동작구,2085455,2553982,3743223,,,,
1000763,서달로14길,12,동작구,2708704,2765397,2602214,,,,
1000762,서달로10길,12,동작구,4068594,4141532,2328411,,,,
1000761,상도로62길,12,동작구,5216545,5714187,1645617,,,,
1000760,상도로61길,12,동작구,3956971,4272910,1259258,,,,
1000759,상도로47길,12,동작구,4433681,4474833,1060939,,,,
1000758,상도로37길,12,동작구,4253075,4246978,1201042,,,,
1000757,상도로15길,12,동작구,5971600,5502552,2014419,,,,
1000756,사당로8길,12,동작구,5932427,5480901,1310497,,,,
1000755,사당로30길,12,동작구,3947145,4197185,2558074,,,,
1000754,사당로2차길,12,동작구,2935637,2248030,558448,,,,
1000753,사당로29길,12,동작구,4966597,5298223,3094685,,,,
1000752,사당로26길,12,동작구,5099972,5321753,1998081,,,,
1000751,사당로23나길,12,동작구,2728120,2811731,718652,,,,
1000750,사당로23길,12,동작구,3185990,3178236,546469,,,,
1000749,사당로20길,12,동작구,5304373,5541316,1614203,,,,
1000748,사당로16길,12,동작구,6779743,6543068,1643965,,,,
1000747,사당로16가길,12,동작구,5703000,5370826,1394622,,,,
1000746,만양로8길,12,동작구,6086550,6345262,2334070,,,,
1000745,만양로14길,12,동작구,4216136,4455175,2121594,,,,
1000744,등용로14길,12,동작구,3087721,3012640,1092169,,,,
1000743,동작대로7길,12,동작구,7455155,7691457,3348303,,,,
1000742,동작대로35길,12,동작구,4997691,4834152,1245197,,,,
1000741,동작대로33길,12,동작구,6341003,6513385,3101309,,,,
1000740,동작대로29길,12,동작구,4371471,4593512,1909536,,,,
1000739,동작대로17길,12,동작구,4789916,5236543,3169140,,,,
1000738,대방동2길,12,동작구,3256420,3305029,1330341,,,,
1000737,대방동27길,12,동작구,2859538,2903004,1014431,,,,
1000736,노량진로6길,12,동작구,4824892,4627663,1369307,,,,
1000735,국사봉길,12,동작구,6564664,6264400,1758381,,,,
1000734,국사봉2길,12,동작구,4708611,4543376,1563943,,,,
1000733,국사봉1길,12,동작구,5881506,5553081,2096118,,,,
1000732,영신로9길,20,영등포구,5453166,6221619,1778379,,,,
1000731,영등포로84길,20,영등포구,5125577,5049619,2133771,,,,
1000730,영등포로80길,20,영등포구,4963974,4972705,2244498,,,,
1000729,영등포로62길,20,영등포구,3734528,4325314,1153978,,,,
1000728,영등포로35길,20,영등포구,3629729,4078943,2466024,,,,
1000727,영등포로27길,20,영등포구,4280557,4401656,1292894,,,,
1000726,영등포로25길,20,영등포구,3588695,3689839,1383848,,,,
1000725,여의대방로61길,20,영등포구,2509298,2633356,1166552,,,,
1000724,여의대방로43나길,20,영등포구,4793975,4500576,1469812,,,,
1000723,여의대방로39길,20,영등포구,2477206,2281345,705167,,,,
1000722,여의대방로35길,20,영등포구,4173805,4051524,1374536,,,,
1000721,양평로28길,20,영등포구,1367504,1307006,352706,,,,
1000720,양평로22라길,20,영등포구,1831149,1737031,625388,,,,
1000719,양평로19길,20,영등포구,3131410,3187483,1212241,,,,
1000718,신길로60길,20,영등포구,5443152,6017143,1785580,,,,
1000717,신길로42길,20,영등포구,4764207,4668956,1230346,,,,
1000716,신길로42가길,20,영등포구,6958909,6649461,2137938,,,,
1000715,신길로39길,20,영등포구,5267428,5922483,1710893,,,,
1000714,신길로17길,20,영등포구,4987531,4191681,1142955,,,,
1000713,선유서로28길,20,영등포구,2955888,2794076,1093703,,,,
1000712,선유서로25길,20,영등포구,2357200,2225302,732767,,,,
1000711,선유서로24길,20,영등포구,3128702,3001256,1138157,,,,
1000710,선유로55길,20,영등포구,2314611,2371921,972832,,,,
1000709,디지털로74길,20,영등포구,5796062,4518957,1296218,,,,
1000708,디지털로57길,20,영등포구,5863208,6041222,2450101,,,,
1000707,디지털로37길,20,영등포구,5747420,6202089,2312341,,,,
1000706,도신로62길,20,영등포구,5292196,5110706,2130065,,,,
1000705,도신로60길,20,영등포구,4872413,4645614,1731450,,,,
1000704,도신로29길,20,영등포구,5018773,5463685,1402472,,,,
1000703,도신로15길,20,영등포구,4879679,4768859,1493326,,,,
1000702,도림천로21길,20,영등포구,5316900,5264243,1916751,,,,
1000701,도림로63길,20,영등포구,4014238,3971648,1314699,,,,
1000700,도림로147길,20,영등포구,2369046,2359128,872540,,,,
1000699,도림로112길,20,영등포구,5146119,5263697,1726737,,,,
1000698,대림로8길,20,영등포구,5575571,4889689,2042352,,,,
1000697,대림로7길,20,영등포구,3190751,3110591,1307734,,,,
1000696,대림로44길,20,영등포구,3244877,3683623,1378529,,,,
1000695,대림로34길,20,영등포구,3692021,3999797,1727788,,,,
1000694,대림로31길,20,영등포구,3995610,4263520,1748255,,,,
1000693,대림로29길,20,영등포구,5518145,6199493,2519501,,,,
1000692,대림로22길,20,영등포구,6490911,5507223,1809565,,,,
1000691,당산로46길,20,영등포구,2736665,2930250,1902449,,,,
1000690,당산로38길,20,영등포구,4023144,3961416,1635447,,,,
1000689,당산로37길,20,영등포구,4615608,4742332,1638294,,,,
1000688,당산로31길,20,영등포구,3607379,3768615,1595437,,,,
1000687,국회대로56길,20,영등포구,2989733,3232960,1683880,,,,
1000686,경인로90길,20,영등포구,2179683,2452636,1089709,,,,
1000685,경인로80길,20,영등포구,2541898,2535699,957450,,,,
1000684,경인로77길,20,영등포구,2511705,2642953,961558,,,,
1000683,가마산로61길,20,영등포구,4791067,4678175,1524040,,,,
1000682,시흥대로94길,8,금천구,3805234,4189623,1112475,,,,
1000681,시흥대로84길,8,금천구,4358381,4264392,897318,,,,
1000680,시흥대로68길,8,금천구,4689344,4624778,1623306,,,,
1000679,시흥대로63길,8,금천구,1891086,1825402,1196304,,,,
1000678,시흥대로62가길,8,금천구,3920631,4105922,1544971,,,,
1000677,시흥대로36길,8,금천구,1305124,1440082,224590,,,,
1000676,시흥대로22길,8,금천구,1519901,1591495,163559,,,,
1000675,시흥대로153길,8,금천구,3126131,2879152,1110796,,,,
1000674,시흥대로150길,8,금천구,4567414,4318147,1135987,,,,
1000673,시흥대로141길,8,금천구,3401593,3014158,1141945,,,,
1000672,시흥대로138길,8,금천구,2502650,2438250,883549,,,,
1000671,시흥대로120길,8,금천구,4207444,4073757,1283710,,,,
1000670,벚꽃로56길,8,금천구,2192580,2207311,685488,,,,
1000669,범안로17길,8,금천구,1686229,1970672,624276,,,,
1000668,범안로11길,8,금천구,2027278,2211387,677318,,,,
1000667,문성로5길,8,금천구,4718832,4679941,1100867,,,,
1000666,독산로85길,8,금천구,3182793,3223153,1020493,,,,
1000665,독산로78다길,8,금천구,5212920,4547601,982313,,,,
1000664,독산로70길,8,금천구,4908399,4383395,962068,,,,
1000663,독산로64길,8,금천구,3752012,3284529,685184,,,,
1000662,독산로50길,8,금천구,2188350,2073806,220907,,,,
1000661,독산로40길,8,금천구,3671133,3668302,543581,,,,
1000660,독산로108길,8,금천구,4631076,4672735,1218507,,,,
1000659,남부순환로112길,8,금천구,3506662,3240197,1381762,,,,
1000658,금하로24길,8,금천구,2770932,2838106,799269,,,,
1000657,금하로1길,8,금천구,584981,583010,94901,,,,
1000656,금하로14길,8,금천구,3159704,3417755,1435096,,,,
1000655,가산로5길,8,금천구,3033585,2830252,1165619,,,,
1000654,가산로3길,8,금천구,2136554,1999185,702976,,,,
1000653,중앙로1길,7,구로구,2236636,2346272,1137120,,,,
1000652,중앙로15길,7,구로구,3186608,3068338,736532,,,,
1000651,우마길,7,구로구,4022491,4165653,1235198,,,,
1000650,오류로8길,7,구로구,3591082,3536792,1196771,,,,
1000649,신도림로13길,7,구로구,2187969,2033212,400403,,,,
1000648,새말로18길,7,구로구,2802793,2964474,872426,,,,
1000647,부일로1길,7,구로구,875278,845590,205063,,,,
1000646,부일로15길,7,구로구,1907537,2155505,224833,,,,
1000645,부일로11길,7,구로구,2040124,2096675,180821,,,,
1000644,디지털로32길,7,구로구,4007589,4316396,2453807,,,,
1000643,디지털로32가길,7,구로구,3859849,3829723,2289437,,,,
1000642,디지털로27길,7,구로구,4376137,4528277,1711603,,,,
1000641,도림로6길,7,구로구,5362956,5403605,1600579,,,,
1000640,도림로12길,7,구로구,5659334,5435300,1667287,,,,
1000639,남부순환로97길,7,구로구,2257580,2344521,715064,,,,
1000638,구로중앙로8길,7,구로구,4972224,5773900,2173852,,,,
1000637,구로중앙로7길,7,구로구,4895759,4894668,1376042,,,,
1000636,구로중앙로42길,7,구로구,2192852,2111677,524482,,,,
1000635,구로중앙로34길,7,구로구,3524269,3773138,1522404,,,,
1000634,구로중앙로28길,7,구로구,5121461,4992042,1797872,,,,
1000633,구로중앙로19길,7,구로구,3514712,3339567,1149109,,,,
1000632,구로동로8길,7,구로구,8342912,7933357,2387561,,,,
1000631,구로동로7길,7,구로구,5203522,5168948,1551836,,,,
1000630,구로동로42길,7,구로구,4463377,4565630,1354100,,,,
1000629,구로동로41길,7,구로구,3926687,3549883,1090069,,,,
1000628,구로동로38길,7,구로구,4490854,4120010,1303644,,,,
1000627,구로동로28길,7,구로구,4428318,4183843,1511176,,,,
1000626,구로동로15길,7,구로구,3411647,3297224,1084347,,,,
1000625,공원로6가길,7,구로구,3650988,3741693,1170986,,,,
1000624,고척로52길,7,구로구,3141010,3459264,585928,,,,
1000623,고척로27다길,7,구로구,4151827,4051819,865170,,,,
1000622,고척로27길,7,구로구,4623540,4389731,825704,,,,
1000621,고척로21나길,7,구로구,4023532,3730206,574973,,,,
1000620,경인로47길,7,구로구,3232939,3247897,1089374,,,,
1000619,경인로35길,7,구로구,3397017,3590942,832566,,,,
1000618,경인로31길,7,구로구,2977632,2969376,693203,,,,
1000617,경인로15길,7,구로구,3169763,2833405,532389,,,,
1000616,개봉로3길,7,구로구,2550563,2285520,936912,,,,
1000615,개봉로2길,7,구로구,2885649,2859669,1209894,,,,
1000614,개봉로23가길,7,구로구,2651864,2843708,909722,,,,
1000613,개봉로20길,7,구로구,2771956,2928870,794725,,,,
1000612,개봉로1길,7,구로구,1688233,1670989,614305,,,,
1000611,개봉로17다길,7,구로구,4038385,3656798,1039237,,,,
1000610,개봉로17길,7,구로구,3478379,3325769,885141,,,,
1000609,개봉로11길,7,구로구,3827124,3278760,1144429,,,,
1000608,화곡로64길,4,강서구,4011488,3797777,1606165,,,,
1000607,화곡로59길,4,강서구,2554492,2662715,1678567,,,,
1000606,화곡로44나길,4,강서구,4443771,4560972,1557143,,,,
1000605,화곡로31길,4,강서구,6033320,6235089,2472869,,,,
1000604,화곡로20길,4,강서구,5937807,5532620,1226613,,,,
1000603,화곡로13길,4,강서구,4491426,4043789,915596,,,,
1000602,초원로16길,4,강서구,4154394,4408816,1071416,,,,
1000601,초록마을로8길,4,강서구,6507519,5927904,1006528,,,,
1000600,초록마을로3길,4,강서구,5126561,4669043,1004309,,,,
1000599,월정로20길,4,강서구,8356738,7100820,1601370,,,,
1000598,우장산로6길,4,강서구,4474916,3754250,1072819,,,,
1000597,양천로73가길,4,강서구,4846017,4765369,1395751,,,,
1000596,양천로71길,4,강서구,4511512,4344404,1260040,,,,
1000595,양천로49길,4,강서구,1047373,1080409,427234,,,,
1000594,양천로26길,4,강서구,1801070,1803965,304838,,,,
1000593,양천로24길,4,강서구,4568071,4221550,1012674,,,,
1000592,양천로24가길,4,강서구,4405401,3983706,1123005,,,,
1000591,양천로14길,4,강서구,4531363,4473392,931929,,,,
1000590,방화대로6라길,4,강서구,1547283,1734491,413314,,,,
1000589,방화대로21길,4,강서구,2815949,2800417,816645,,,,
